hour_beginning,location,Pedestrians,Towards Manhattan,Towards Brooklyn,weather_summary,temperature,precipitation,lat,long,events,Location1
1/4/2018 15:00,Brooklyn Bridge,199,123,76,snow,22,0.0053,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/5/2018 2:00,Brooklyn Bridge,0,0,0,clear-night,15,0.0002,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/1/2017 16:00,Brooklyn Bridge,1814,894,920,partly-cloudy-day,56,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/6/2018 13:00,Brooklyn Bridge,652,341,311,clear-day,12,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/5/2017 5:00,Brooklyn Bridge,19,12,7,partly-cloudy-night,63,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/6/2018 8:00,Brooklyn Bridge,39,16,23,clear-day,7,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
2/3/2018 8:00,Brooklyn Bridge,125,62,63,clear-day,18,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/27/2017 21:00,Brooklyn Bridge,69,28,41,clear-night,18,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/28/2017 19:00,Brooklyn Bridge,236,123,113,clear-night,15,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/30/2017 14:00,Brooklyn Bridge,1278,543,735,partly-cloudy-day,48,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/24/2017 15:00,Brooklyn Bridge,2616,1445,1171,clear-day,39,0,40.70816397,-73.9995087,Christmas Eve,"(40.7081639691088, -73.9995087014816)"
12/8/2017 1:00,Brooklyn Bridge,9,6,3,clear-night,37,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/24/2018 18:00,Brooklyn Bridge,404,271,133,clear-night,33,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/26/2017 8:00,Brooklyn Bridge,208,88,120,clear-day,24,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/13/2017 15:00,Brooklyn Bridge,966,439,527,clear-day,30,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/23/2017 3:00,Brooklyn Bridge,3,0,3,partly-cloudy-night,39,0.0007,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/3/2018 7:00,Brooklyn Bridge,111,56,55,clear-night,13,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/20/2017 23:00,Brooklyn Bridge,180,73,107,clear-night,60,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/4/2017 23:00,Brooklyn Bridge,40,14,26,partly-cloudy-night,48,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/16/2017 1:00,Brooklyn Bridge,9,5,4,partly-cloudy-night,50,0.0001,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/15/2017 11:00,Brooklyn Bridge,1949,1130,819,partly-cloudy-day,68,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/12/2017 1:00,Brooklyn Bridge,19,6,13,partly-cloudy-night,37,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/9/2018 12:00,Brooklyn Bridge,841,437,404,clear-day,42,0.0069,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/28/2018 20:00,Brooklyn Bridge,236,150,86,partly-cloudy-night,46,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/21/2017 13:00,Brooklyn Bridge,1855,802,1053,clear-day,56,0.0001,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/5/2017 6:00,Brooklyn Bridge,148,125,23,partly-cloudy-night,53,0.0014,40.70816397,-73.9995087,Daylight Saving Time ends,"(40.7081639691088, -73.9995087014816)"
11/7/2017 21:00,Brooklyn Bridge,6,6,0,rain,40,0.0448,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/30/2018 17:00,Brooklyn Bridge,432,251,181,partly-cloudy-day,32,0.0004,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/14/2017 21:00,Brooklyn Bridge,393,162,231,cloudy,67,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/27/2017 4:00,Brooklyn Bridge,4,3,1,clear-night,42,0.0001,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/12/2017 23:00,Brooklyn Bridge,43,14,29,clear-night,39,0.0002,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/11/2017 9:00,Brooklyn Bridge,535,244,291,clear-day,65,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/11/2018 15:00,Brooklyn Bridge,1219,595,624,partly-cloudy-day,47,0.0006,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/19/2017 3:00,Brooklyn Bridge,6,0,6,cloudy,44,0.0001,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/7/2017 5:00,Brooklyn Bridge,27,14,13,clear-night,41,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
